/home/yoonju/miniconda3/envs/s2r/lib/python3.10/site-packages/torch/cuda/__init__.py:63: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
[02:22:14] [GPU 2/4] 598/2393 samples  batch=16  device=cuda
[02:22:14] Loading model from Qwen/Qwen2.5-Math-7B ...
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:00<00:00,  8.71it/s]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:00<00:00, 10.59it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:00<00:00, 10.67it/s]
[02:22:26] Model loaded. Starting inference ...
[02:22:35]   batch [1/38]  9.7s/batch  elapsed 10s  ETA 360s
[02:22:44]   batch [2/38]  8.5s/batch  elapsed 18s  ETA 307s
[02:22:56]   batch [3/38]  11.6s/batch  elapsed 30s  ETA 406s
[02:23:05]   batch [4/38]  9.4s/batch  elapsed 39s  ETA 321s
[02:23:13]   batch [5/38]  7.9s/batch  elapsed 47s  ETA 262s
[02:23:20]   batch [6/38]  7.5s/batch  elapsed 55s  ETA 240s
[02:23:25]   batch [7/38]  4.8s/batch  elapsed 60s  ETA 150s
[02:23:37]   batch [8/38]  11.3s/batch  elapsed 71s  ETA 339s
[02:23:45]   batch [9/38]  8.6s/batch  elapsed 80s  ETA 250s
[02:23:56]   batch [10/38]  11.2s/batch  elapsed 91s  ETA 313s
[02:24:07]   batch [11/38]  10.7s/batch  elapsed 101s  ETA 288s
[02:24:16]   batch [12/38]  9.0s/batch  elapsed 110s  ETA 234s
[02:24:24]   batch [13/38]  8.4s/batch  elapsed 119s  ETA 211s
[02:24:35]   batch [14/38]  10.3s/batch  elapsed 129s  ETA 247s
[02:24:47]   batch [15/38]  12.7s/batch  elapsed 142s  ETA 291s
[02:24:58]   batch [16/38]  10.3s/batch  elapsed 152s  ETA 227s
[02:25:08]   batch [17/38]  10.3s/batch  elapsed 162s  ETA 215s
[02:25:19]   batch [18/38]  11.1s/batch  elapsed 173s  ETA 223s
[02:25:28]   batch [19/38]  9.3s/batch  elapsed 183s  ETA 176s
[02:25:38]   batch [20/38]  10.1s/batch  elapsed 193s  ETA 181s
[02:25:47]   batch [21/38]  8.1s/batch  elapsed 201s  ETA 138s
[02:25:59]   batch [22/38]  12.8s/batch  elapsed 214s  ETA 204s
[02:26:11]   batch [23/38]  12.1s/batch  elapsed 226s  ETA 181s
[02:26:20]   batch [24/38]  8.9s/batch  elapsed 235s  ETA 125s
[02:26:29]   batch [25/38]  8.9s/batch  elapsed 244s  ETA 115s
[02:26:37]   batch [26/38]  8.0s/batch  elapsed 252s  ETA 95s
[02:26:46]   batch [27/38]  9.1s/batch  elapsed 261s  ETA 100s
[02:26:53]   batch [28/38]  7.0s/batch  elapsed 268s  ETA 70s
[02:27:06]   batch [29/38]  13.0s/batch  elapsed 281s  ETA 117s
[02:27:17]   batch [30/38]  10.8s/batch  elapsed 291s  ETA 86s
[02:27:48]   batch [31/38]  30.5s/batch  elapsed 322s  ETA 214s
[02:27:56]   batch [32/38]  8.5s/batch  elapsed 331s  ETA 51s
[02:28:04]   batch [33/38]  8.3s/batch  elapsed 339s  ETA 42s
[02:28:10]   batch [34/38]  5.4s/batch  elapsed 344s  ETA 22s
[02:28:17]   batch [35/38]  7.3s/batch  elapsed 352s  ETA 22s
[02:28:26]   batch [36/38]  9.0s/batch  elapsed 361s  ETA 18s
[02:28:32]   batch [37/38]  5.6s/batch  elapsed 366s  ETA 6s
[02:28:34]   batch [38/38]  2.5s/batch  elapsed 369s  ETA 0s
[02:28:34] Done. 598 samples in 368.8s  (0.62s/sample)
[02:28:34] Saved → ./output/ref_logit/20260415_022207/ref_logprobs.pt.part2
[W415 02:28:35.848738327 AllocatorConfig.cpp:28] Warning: PYTORCH_CUDA_ALLOC_CONF is deprecated, use PYTORCH_ALLOC_CONF instead (function operator())
